University Admission year,Gender,Age,H.S.C passing year,Program,Current Semester,Do you have meritorious scholarship ?,Do you use University transportation?,How many hour do you study daily?,How many times do you seat for study in a day?,What is your preferable learning mode?,Do you use smart phone?,Do you have personal Computer?,How many hour do you spent daily in social media?,Status of your English language proficiency,Average attendance on class,Did you ever fall in probation?,Did you ever got suspension?,Do you attend in teacher consultancy for any kind of academical problems?,What are the skills do you have ?,How many hour do you spent daily on your skill development?,What is you interested area?,What is your relationship status?,Are you engaged with any co-curriculum activities?,With whom you are living with?,Do you have any health issues?,What was your previous SGPA?,Do you have any physical disabilities?,What is your current CGPA?,How many Credit did you have completed?,What is your monthly family income?,Study_Efficiency,Academic_Risk_Score,Time_Management_Score,Cluster
2018,1,24,2016,0,12,1,0,3,2,0,1,1,5,2,55,0,0,1,43,2,7,4,1,0,1,2.68,0,3.15,75,25000,1.0,4.5,-2,0
2021,1,22,2020,0,4,1,1,3,2,1,1,1,3,1,62,1,0,0,48,2,10,4,1,1,1,2.68,0,3.15,36,100000,1.0,4.8,0,0
2020,0,21,2019,0,5,0,0,3,3,0,1,1,3,2,45,0,0,1,39,1,16,4,0,0,1,2.68,0,3.15,50,50000,0.75,5.5,0,0
2021,1,20,2020,0,4,1,0,1,3,0,1,1,2,2,53,0,0,1,39,1,0,4,0,0,2,2.68,0,3.15,36,62488,0.25,4.7,-1,0
2021,1,22,2019,0,4,1,0,3,1,1,1,1,2,2,45,0,0,1,39,1,16,3,0,0,2,2.68,0,3.15,36,50000,1.5,5.5,1,0
2021,1,20,2020,0,4,1,1,2,2,0,1,1,1,2,61,0,0,1,48,2,16,4,1,1,1,2.68,0,3.15,36,30000,0.6666666666666666,3.9,1,0
2021,1,22,2018,0,4,1,0,2,4,1,1,1,2,2,45,0,0,0,48,6,16,4,0,0,2,2.68,0,3.15,36,20000,0.4,5.5,0,0
2021,0,22,2019,0,4,1,0,2,2,0,1,1,2,1,2,1,0,1,48,1,14,4,0,0,1,3.8,0,3.64,35,32500,0.6666666666666666,10.8,0,1
2021,1,20,2020,0,4,1,0,3,2,0,1,1,2,2,55,0,0,0,39,3,16,4,0,0,1,2.68,0,3.15,36,20000,1.0,4.5,1,0
2021,0,22,2020,0,4,1,1,5,2,0,1,1,2,2,2,0,0,1,39,1,0,4,0,1,1,2.68,0,3.15,36,25000,1.6666666666666667,9.8,3,1
2021,1,22,2019,0,4,1,1,3,2,1,1,1,3,2,55,0,0,1,39,1,16,4,1,1,1,2.68,0,3.15,36,50000,1.0,4.5,0,0
2021,1,22,2019,0,4,0,0,3,2,0,1,1,2,1,55,0,0,0,39,2,16,4,0,0,2,3.4,0,3.53,35,20000,1.0,4.5,1,0
2021,0,22,2020,0,4,0,1,1,1,0,1,1,1,1,2,0,0,1,39,2,16,4,0,1,1,2.68,0,3.15,36,50000,0.5,9.8,0,1
2021,0,21,2019,0,4,1,0,3,2,0,1,1,1,2,55,0,0,0,39,1,16,4,0,0,1,2.68,0,3.15,36,24000,1.0,4.5,2,0
2021,0,21,2018,0,4,0,1,2,2,0,1,1,1,1,63,0,0,0,39,2,16,4,0,1,1,2.68,0,3.15,36,70000,0.6666666666666666,3.7,1,0
2021,1,20,2020,0,4,1,1,2,1,0,1,1,1,1,61,0,0,1,39,3,16,4,1,1,1,3.93,0,3.89,35,30000,1.0,3.9,1,0
2021,1,22,2019,0,4,1,1,5,3,1,1,1,1,2,61,0,0,1,39,2,13,4,1,1,1,2.68,0,3.15,36,40000,1.25,3.9,4,0
2021,0,21,2020,0,4,1,0,5,1,0,1,1,2,1,63,0,0,0,39,2,16,4,0,1,1,2.68,0,3.15,36,50000,2.5,3.7,3,0
2021,1,21,2020,0,4,1,0,1,2,1,1,1,3,0,36,0,0,1,39,2,16,3,0,1,1,3.1,0,3.5,35,62488,0.3333333333333333,6.4,-2,0
2021,1,19,2020,0,4,0,1,3,2,1,1,1,2,2,36,1,0,1,48,2,16,4,0,1,1,2.68,0,3.15,36,20000,1.0,7.4,1,0
2021,0,21,2019,0,4,1,0,3,2,0,1,1,2,2,62,0,0,1,48,1,22,4,1,0,1,3.81,0,3.65,34,30000,1.0,3.8,1,0
2021,1,21,2020,0,4,1,0,3,3,0,1,1,2,2,45,1,0,0,23,2,14,4,0,0,1,2.68,0,3.15,36,50000,0.75,6.5,1,0
2021,1,22,2020,0,4,1,0,2,1,0,1,1,2,2,64,0,0,1,48,2,16,4,1,0,1,2.68,0,3.15,36,20000,1.0,3.6,0,0
2020,0,21,2019,0,4,0,1,6,3,0,1,1,3,2,61,0,0,0,39,3,16,4,1,1,1,2.68,0,3.15,36,25000,1.5,3.9,3,0
2021,1,21,2020,0,4,1,1,1,1,1,1,1,1,0,50,0,0,1,5,2,13,4,1,0,2,3.89,0,3.81,35,35000,0.5,5.0,0,0
2021,0,20,2020,0,4,0,0,3,2,0,1,1,1,1,63,0,0,1,39,2,16,4,0,1,1,3.79,0,3.82,39,50000,1.0,3.7,2,0
2021,1,20,2020,0,4,0,0,4,3,0,1,0,3,1,61,0,0,0,39,2,16,4,1,0,1,2.68,0,3.15,36,4000,1.0,3.9,1,0
2021,1,19,2020,0,4,1,1,2,1,1,1,1,4,2,36,1,0,1,39,4,0,4,1,1,2,3.55,0,3.48,35,40000,1.0,7.4,-2,0
2021,1,21,2020,0,4,1,1,2,1,1,1,1,2,2,61,0,0,1,48,2,16,4,1,0,2,3.28,0,3.32,36,8000,1.0,3.9,0,0
2021,1,25,2020,0,4,1,0,3,3,0,1,1,2,2,2,0,0,1,39,3,16,4,1,0,1,2.68,0,3.15,36,47972,0.75,9.8,1,1
2022,1,20,2020,0,2,1,1,3,3,1,1,1,4,2,55,0,0,1,39,2,13,4,0,1,1,2.68,0,3.15,11,30000,0.75,4.5,-1,0
2022,1,20,2020,0,2,1,1,4,2,0,1,1,2,2,61,0,0,1,39,3,16,4,1,1,1,2.68,0,3.15,11,90000,1.3333333333333333,3.9,2,0
2022,1,21,2021,0,2,0,0,5,5,0,1,1,2,2,55,0,0,0,39,1,16,4,0,0,1,2.68,0,3.15,11,30000,0.8333333333333334,4.5,3,0
2021,1,23,2018,0,4,1,0,8,4,0,1,1,2,2,2,0,0,0,39,2,16,4,1,0,1,2.68,0,3.15,36,37000,1.6,9.8,6,1
2022,1,20,2020,0,2,1,1,1,1,0,1,1,2,1,61,0,0,0,39,1,16,4,1,1,1,2.68,0,3.15,11,35000,0.5,3.9,-1,0
2022,0,20,2020,0,2,1,1,3,1,1,1,0,1,2,45,0,0,0,39,2,16,4,1,1,1,2.68,0,3.15,11,50000,1.5,5.5,2,0
2022,0,21,2019,0,2,1,0,2,1,0,1,1,3,1,65,0,0,1,48,2,0,4,0,0,1,2.68,0,3.15,11,30000,1.0,3.5,-1,0
2019,1,24,2016,0,11,0,0,2,2,1,1,1,5,1,36,1,0,1,39,4,16,4,0,0,2,2.68,0,3.15,126,20000,0.6666666666666666,7.4,-3,2
2022,0,20,2020,0,2,1,1,4,2,0,1,1,4,2,2,0,0,1,39,1,16,4,0,1,1,2.68,0,3.15,11,80000,1.3333333333333333,9.8,0,1
2021,0,22,2019,0,2,1,1,5,2,0,1,1,3,0,64,0,0,1,39,2,16,4,1,0,1,2.68,0,3.15,11,40000,1.6666666666666667,3.6,2,0
2022,1,20,2020,0,2,1,0,5,5,0,1,1,6,1,2,0,0,1,39,3,13,4,0,0,1,2.68,0,3.15,11,20000,0.8333333333333334,9.8,-1,2
2022,1,21,2020,0,2,0,0,3,2,0,1,1,2,1,63,0,0,1,39,2,16,4,1,0,1,2.68,0,3.15,11,10000,1.0,3.7,1,0
2022,1,21,2020,0,2,1,1,3,3,0,1,1,1,1,64,0,0,1,39,4,16,4,0,0,1,2.68,0,3.15,11,10000,0.75,3.6,2,0
2022,1,19,2020,0,2,1,1,5,3,1,1,1,6,2,55,0,0,1,39,1,16,4,1,1,1,2.68,0,3.15,11,40000,1.25,4.5,-1,2
2022,1,19,2020,0,2,1,1,4,2,1,1,1,2,2,55,0,0,1,39,2,16,4,1,1,1,2.68,0,3.15,11,40000,1.3333333333333333,4.5,2,0
2022,1,19,2020,0,2,1,0,4,2,0,1,1,1,1,61,0,0,1,39,3,16,4,0,0,1,2.68,0,3.15,11,25000,1.3333333333333333,3.9,3,0
2022,1,20,2020,0,2,1,0,5,2,0,1,1,3,2,61,0,0,1,39,1,16,4,1,1,1,2.68,0,3.15,11,20000,1.6666666666666667,3.9,2,0
2022,1,19,2020,0,2,1,1,1,1,1,1,1,1,2,55,0,0,0,39,2,16,4,1,1,1,2.68,0,3.15,11,22000,0.5,4.5,0,0
2021,0,20,2020,0,4,0,0,2,2,0,1,1,3,1,65,0,0,0,39,1,16,4,0,1,1,3.78,0,3.88,36,200000,0.6666666666666666,3.5,-1,0
2022,1,20,2020,0,2,1,0,7,2,0,1,1,5,1,55,0,0,1,39,2,16,4,0,1,2,2.68,0,3.15,11,39000,2.3333333333333335,4.5,2,0
2022,1,21,2020,0,2,1,1,2,1,1,1,1,3,2,55,0,0,0,39,1,13,4,0,1,1,2.68,0,3.15,11,30000,1.0,4.5,-1,0
2022,1,21,2020,0,2,1,1,2,2,0,1,1,2,2,53,0,0,0,39,2,16,4,1,1,1,4.0,0,4.0,11,20000,0.6666666666666666,4.7,0,0
2022,1,21,2020,0,2,1,1,5,2,0,1,1,1,2,61,0,0,1,48,2,16,4,1,1,1,2.68,0,3.15,11,30000,1.6666666666666667,3.9,4,0
2022,1,20,2020,0,2,1,0,3,1,0,1,1,2,2,2,0,0,0,39,1,16,4,0,1,1,3.9,0,3.9,12,60000,1.5,9.8,1,1
2022,1,20,2020,0,2,1,1,2,2,0,1,1,1,1,2,0,0,1,39,2,16,4,0,1,1,2.68,0,3.15,11,40000,0.6666666666666666,9.8,1,1
2022,1,22,2020,0,2,0,1,1,1,1,1,1,7,1,45,0,0,1,23,2,16,4,1,1,2,2.68,0,3.15,11,32000,0.5,5.5,-6,2
2021,1,20,2020,0,2,1,0,1,2,0,1,1,2,2,2,0,0,0,39,1,0,4,0,1,1,2.68,0,3.15,11,30000,0.3333333333333333,9.8,-1,1
2021,0,20,2020,0,2,1,1,1,2,0,1,1,1,2,64,0,0,0,39,2,16,4,1,1,1,2.68,0,3.15,11,40000,0.3333333333333333,3.6,0,0
2022,1,20,2020,0,2,1,1,4,1,1,1,1,3,2,50,0,0,1,48,2,16,4,0,1,1,2.68,0,3.15,11,30000,2.0,5.0,1,0
2021,0,20,2020,0,2,1,1,2,1,0,1,1,4,2,65,0,0,0,39,2,16,4,1,1,1,2.68,0,3.15,11,40000,1.0,3.5,-2,0
2022,1,20,2020,0,2,1,1,1,1,0,1,1,4,2,40,0,0,1,39,1,16,4,0,1,1,2.68,0,3.15,11,35000,0.5,6.0,-3,2
2021,1,21,2020,0,4,1,1,3,2,0,1,1,4,2,50,0,0,1,48,2,0,3,0,0,1,2.68,0,3.15,36,40000,1.0,5.0,-1,0
2019,1,23,2017,0,11,0,1,1,2,0,1,1,2,2,2,0,0,0,48,2,16,4,1,0,1,2.68,0,3.15,126,15000,0.3333333333333333,9.8,-1,1
2020,1,21,2019,0,8,1,0,3,2,0,1,1,5,2,61,0,0,1,39,1,16,4,0,0,1,3.84,0,3.8,80,23000,1.0,3.9,-2,0
2020,1,21,2019,0,8,0,1,3,2,0,1,1,2,0,61,0,0,1,48,2,16,4,1,0,1,2.68,0,3.15,88,62488,1.0,3.9,1,0
2018,1,24,2016,0,12,1,0,2,2,0,1,1,4,2,36,0,0,1,39,2,13,4,1,0,1,3.31,0,3.52,132,350000,0.6666666666666666,6.4,-2,0
2020,1,22,2019,0,8,0,0,3,2,1,1,1,4,2,2,0,0,1,35,2,13,4,0,0,1,2.68,0,3.15,88,50000,1.0,9.8,-1,1
2022,0,21,2020,0,2,1,0,3,1,1,1,1,2,0,61,0,0,1,39,1,16,4,0,1,1,2.68,0,3.15,11,40000,1.5,3.9,1,0
2022,1,20,2020,0,2,0,0,3,2,0,1,1,2,2,2,0,0,1,48,5,16,3,0,0,1,2.68,0,3.15,11,35000,1.0,9.8,1,1
2020,0,21,2019,0,8,1,1,3,2,0,1,1,2,1,45,0,0,1,39,2,16,4,0,1,1,2.68,0,3.15,88,35000,1.0,5.5,1,0
2022,1,21,2020,0,2,0,0,8,2,1,1,1,1,1,2,0,0,1,48,2,24,4,1,0,1,2.68,0,3.15,11,30000,2.6666666666666665,9.8,7,1
2020,1,23,2018,0,8,1,1,2,2,1,1,1,1,2,55,0,0,1,48,1,16,4,0,1,1,2.68,0,3.15,88,40000,0.6666666666666666,4.5,1,0
2022,1,20,2020,0,2,1,1,4,1,0,1,1,1,2,61,0,0,1,39,1,16,4,1,1,1,2.68,0,3.15,11,35000,2.0,3.9,3,0
2020,0,21,2019,0,8,0,1,1,1,1,1,1,2,2,61,0,0,0,43,2,16,4,0,1,2,2.68,0,3.15,88,40000,0.5,3.9,-1,0
2018,0,24,2017,0,12,0,1,2,2,0,1,1,3,2,45,1,0,1,23,1,13,2,1,1,1,2.68,0,3.15,136,30000,0.6666666666666666,6.5,-1,0
2020,1,22,2019,0,8,0,0,3,1,1,1,1,1,2,2,0,0,0,39,8,16,4,1,0,1,2.68,0,3.15,88,35000,1.5,9.8,2,1
2020,1,21,2019,0,8,0,1,4,1,0,1,1,2,1,61,0,0,1,39,2,16,4,0,0,1,2.68,0,3.15,88,25000,2.0,3.9,2,0
2022,0,20,2020,0,2,1,1,5,3,0,1,0,2,1,65,0,0,1,39,2,16,4,1,1,2,2.68,0,3.15,11,600000,1.25,3.5,3,0
2022,0,20,2019,0,2,1,1,4,3,0,1,1,4,1,2,0,0,1,39,2,16,0,0,1,1,2.68,0,3.15,11,35000,1.0,9.8,0,1
2020,0,20,2019,0,8,1,0,1,1,0,1,1,5,2,45,0,0,1,48,2,16,2,0,0,1,3.49,0,3.67,71,40000,0.5,5.5,-4,2
2020,1,21,2019,0,8,0,0,4,1,1,1,1,2,2,2,0,0,1,48,2,14,4,0,0,1,3.07,0,2.74,85,20000,2.0,9.8,2,1
2019,1,21,2019,0,8,0,1,3,1,0,1,1,8,2,50,0,0,1,12,1,14,4,0,1,1,2.68,0,3.15,88,20000,1.5,5.0,-5,2
2019,0,21,2019,0,8,0,1,3,1,0,1,1,1,2,61,0,0,1,39,1,14,4,0,1,1,3.76,0,3.5,83,92000,1.5,3.9,2,0
2020,1,22,2019,0,8,0,1,3,1,0,0,1,1,2,64,0,0,0,48,2,16,4,0,1,1,2.7,0,2.8,80,35000,1.5,3.6,2,0
2020,1,22,2019,0,8,0,0,2,1,0,1,1,2,2,61,0,0,0,48,2,14,4,0,0,1,2.68,0,3.15,88,20000,1.0,3.9,0,0
2020,1,23,2017,0,8,0,1,1,1,1,1,1,1,2,65,0,0,1,48,2,16,4,1,1,1,2.68,0,3.15,88,15000,0.5,3.5,0,0
2020,1,23,2017,0,8,1,1,2,1,1,1,1,1,2,62,0,0,0,23,2,14,4,1,1,1,2.68,0,3.15,88,30000,1.0,3.8,1,0
2022,1,21,2020,0,2,0,1,3,1,0,1,1,1,2,61,0,0,1,39,2,16,4,1,1,1,3.65,0,3.15,11,45000,1.5,3.9,2,0
2020,1,22,2019,0,8,0,1,1,1,0,1,1,15,2,2,0,0,1,48,1,12,3,0,1,1,2.68,0,3.15,88,90000,0.5,9.8,-14,2
2020,0,21,2019,0,8,0,0,2,2,0,1,1,2,1,45,0,0,0,48,1,13,4,0,1,1,2.68,0,3.15,88,35000,0.6666666666666666,5.5,0,0
2020,1,20,2019,0,8,1,1,2,1,1,1,1,3,1,61,0,0,0,48,3,16,4,0,0,1,2.68,0,3.15,88,20000,1.0,3.9,-1,0
2021,1,21,2020,0,2,1,1,4,2,0,1,1,2,2,53,0,0,1,48,2,16,4,1,0,1,2.68,0,3.15,11,100000,1.3333333333333333,4.7,2,0
2019,1,23,2018,0,11,1,0,6,2,0,1,1,3,2,2,0,0,0,48,2,16,4,1,0,1,3.84,0,3.1,73,30000,2.0,9.8,3,1
2022,0,20,2020,0,2,0,0,2,1,0,1,1,6,2,45,1,0,0,39,2,16,4,0,0,1,2.68,0,3.15,11,70000,1.0,6.5,-4,2
2018,0,24,2016,0,10,0,1,2,1,1,1,1,4,1,55,1,0,0,48,4,16,4,0,1,1,2.68,0,3.15,113,40000,1.0,5.5,-2,0
2022,0,21,2020,0,2,1,0,2,4,0,1,1,1,1,2,0,0,1,39,2,16,0,1,0,1,2.68,0,3.15,11,10000,0.4,9.8,1,1
2021,1,20,2020,0,4,1,1,2,1,0,1,1,2,0,47,0,0,1,39,4,16,3,0,0,1,2.68,0,3.15,36,40000,1.0,5.3,0,0
2021,1,22,2020,0,4,1,1,1,1,0,1,1,1,2,55,0,0,0,39,0,16,4,0,1,1,2.68,0,3.15,36,20000,0.5,4.5,0,0
2021,1,20,2019,0,5,0,0,3,2,0,1,1,1,2,64,0,0,0,48,8,13,4,1,0,1,2.68,0,3.15,50,22000,1.0,3.6,2,0
2019,1,23,2017,0,11,0,1,3,2,1,1,1,1,2,50,1,0,1,48,2,16,4,0,0,2,2.68,0,3.15,126,45000,1.0,6.0,2,0
2020,0,21,2019,0,8,0,1,4,1,0,1,1,3,2,55,0,0,1,48,1,16,4,0,1,1,2.68,0,3.15,88,40000,2.0,4.5,1,0
2022,0,20,2020,0,2,1,1,2,1,0,1,1,5,2,55,0,0,1,39,1,16,4,0,1,2,2.68,0,3.15,11,50000,1.0,4.5,-3,0
2020,0,22,2019,0,8,1,0,3,1,0,1,1,4,2,55,0,0,1,48,2,16,4,0,0,1,2.68,0,3.15,88,50000,1.5,4.5,-1,0
2018,1,23,2017,0,13,0,0,2,4,0,1,1,6,1,53,1,0,1,23,1,16,3,0,0,1,2.68,0,3.15,112,30000,0.4,5.7,-4,2
2022,1,20,2020,0,2,1,0,3,4,0,1,1,1,1,61,0,0,1,43,5,16,4,0,0,1,2.68,0,3.15,11,40000,0.6,3.9,2,0
2021,1,19,2020,0,4,1,0,1,1,0,1,0,1,2,61,0,0,1,39,1,16,4,1,1,1,3.5,0,3.58,35,30000,0.5,3.9,0,0
2021,1,21,2019,0,4,1,1,4,2,0,1,1,1,2,55,0,0,0,48,2,16,4,1,1,1,3.38,0,3.82,27,40000,1.3333333333333333,4.5,3,0
2020,1,21,2019,0,8,0,0,2,2,0,1,1,1,2,55,1,1,1,39,1,13,4,0,0,1,2.68,0,3.15,88,30000,0.6666666666666666,7.5,1,0
2019,0,22,2017,0,10,0,0,9,3,1,1,1,1,2,53,1,0,0,8,1,12,4,0,0,1,2.68,0,3.15,113,62488,2.25,5.7,8,0
2022,0,19,2020,0,2,1,1,3,2,0,1,1,2,1,2,0,0,1,39,3,16,4,1,1,1,2.68,0,3.15,11,35000,1.0,9.8,1,1
2022,0,22,2022,0,4,1,0,1,1,0,1,1,10,1,45,1,0,0,39,2,16,4,0,1,1,2.68,0,3.15,36,100000,0.5,6.5,-9,2
2021,1,22,2018,0,4,1,0,3,2,0,1,1,3,2,45,0,0,1,23,3,13,4,0,0,1,2.68,0,3.15,36,30000,1.0,5.5,0,0
2019,0,21,2019,0,9,0,0,2,3,0,1,1,3,1,57,1,0,1,48,1,16,4,1,0,1,1.89,0,2.69,86,20000,0.5,5.3,-1,0
2021,0,19,2020,0,4,1,0,7,3,0,1,0,3,0,55,0,0,1,39,1,16,4,1,1,1,3.7,0,3.77,35,62488,1.75,4.5,4,0
2022,1,19,2020,0,2,1,0,4,2,0,1,1,2,2,61,0,0,1,39,2,16,4,1,1,1,2.68,0,3.15,11,30000,1.3333333333333333,3.9,2,0
2022,1,21,2019,0,2,1,0,5,2,0,1,1,3,2,61,0,0,0,39,2,16,4,0,0,1,2.68,0,3.15,11,20000,1.6666666666666667,3.9,2,0
2019,1,25,2018,0,11,1,0,2,1,0,1,1,2,2,36,1,0,0,48,4,16,4,0,0,2,0.0,0,2.53,91,30000,1.0,7.4,0,0
2019,0,22,2019,0,9,0,1,3,3,1,1,0,2,1,65,0,0,1,48,2,8,4,0,1,2,2.68,0,3.15,100,20000,0.75,3.5,1,0
2018,1,24,2017,0,13,0,0,2,2,0,1,1,4,1,20,1,1,1,48,5,16,2,1,0,1,2.2,0,2.66,110,60000,0.6666666666666666,11.0,-2,2
2017,1,22,2017,0,15,1,0,1,1,0,1,1,4,0,2,1,0,1,48,4,16,4,0,0,2,2.6,0,2.6,90,62488,0.5,10.8,-3,1
2019,0,22,2018,0,11,0,1,3,1,0,1,1,3,2,61,0,0,1,23,0,16,2,0,1,2,2.7,0,2.91,120,150000,1.5,3.9,0,0
2018,1,23,2017,0,14,0,0,2,2,1,1,1,1,2,55,1,1,1,39,2,16,4,1,1,1,2.87,0,2.99,120,30000,0.6666666666666666,7.5,1,0
2021,1,20,2019,0,5,0,0,4,4,0,1,1,1,2,61,1,0,0,39,4,16,4,0,0,1,2.68,0,3.15,50,25000,0.8,4.9,3,0
2019,1,23,2017,0,9,0,1,2,1,1,1,1,4,2,36,0,0,1,6,4,14,3,1,1,1,2.68,0,3.15,100,200000,1.0,6.4,-2,0
2015,1,26,2012,0,21,0,0,1,1,0,1,1,1,1,50,1,0,0,48,1,12,4,0,0,2,2.68,1,3.15,77,50000,0.5,6.0,0,0
2019,1,22,2019,0,9,0,0,3,5,1,1,1,1,2,65,0,0,0,48,3,16,4,0,0,1,2.68,0,3.15,100,40000,0.5,3.5,2,0
2019,1,23,2018,0,9,0,1,1,1,0,1,1,1,2,36,0,0,0,48,1,12,3,1,1,2,2.7,0,2.92,76,15000,0.5,6.4,0,0
2019,1,21,2018,0,11,0,1,2,1,0,1,1,1,2,39,0,0,1,39,2,14,4,0,1,1,2.68,0,3.15,126,75000,1.0,6.1,1,0
2019,1,22,2018,0,11,0,0,2,2,1,1,1,1,2,2,1,1,1,39,2,16,4,0,0,2,2.68,0,3.15,126,40000,0.6666666666666666,12.8,1,1
2018,0,23,2016,0,14,0,1,3,2,0,1,1,1,1,36,1,0,0,39,2,12,4,0,0,2,2.98,1,2.96,118,20000,1.0,7.4,2,0
2019,0,21,2018,0,11,0,0,1,1,0,1,1,2,0,40,0,0,1,48,2,16,3,0,1,1,2.68,0,3.15,126,40000,0.5,6.0,-1,0
2021,0,20,2019,0,2,1,0,5,2,0,1,1,7,1,45,0,0,0,39,2,16,4,1,0,2,2.68,0,3.15,11,62488,1.6666666666666667,5.5,-2,2
2019,0,21,2019,0,9,0,0,6,3,0,1,1,2,2,53,0,0,1,48,4,16,4,0,0,1,2.68,0,3.15,100,62488,1.5,4.7,4,0
2019,1,22,2019,0,9,0,0,3,4,0,1,1,2,2,65,0,0,0,48,7,20,4,0,0,1,3.52,0,2.9,100,15000,0.6,3.5,1,0
2020,1,23,2018,0,8,1,1,4,5,0,1,1,3,2,2,0,0,1,39,2,16,4,1,0,1,3.48,0,3.08,68,20000,0.6666666666666666,9.8,1,1
2016,1,25,2014,0,11,1,1,2,1,1,1,1,3,0,55,1,0,1,48,3,16,4,1,1,1,2.68,0,3.15,126,63000,1.0,5.5,-1,0
2019,0,22,2018,0,11,1,1,1,2,1,1,1,3,1,45,0,0,0,48,3,14,4,0,1,1,2.68,0,3.15,126,50000,0.3333333333333333,5.5,-2,0
2020,1,20,2019,0,6,0,0,2,2,1,1,1,5,1,55,1,0,0,23,2,14,4,0,1,1,2.68,0,3.15,65,40000,0.6666666666666666,5.5,-3,2
2018,1,25,2016,0,14,0,0,6,4,1,1,1,2,0,3,1,0,1,48,4,16,4,1,1,1,3.16,0,2.68,121,60000,1.2,10.7,4,1
2021,0,21,2019,0,5,0,0,2,3,0,1,1,1,1,52,1,0,1,39,1,19,2,0,1,1,1.92,0,2.42,39,60000,0.5,5.8,1,0
2021,1,20,2020,0,4,0,1,2,1,0,1,1,2,2,45,0,0,1,48,4,1,4,0,1,2,2.68,0,3.15,36,30000,1.0,5.5,0,0
2015,1,27,2014,0,10,0,1,5,2,1,1,1,6,1,20,1,0,1,23,2,14,4,0,1,1,2.68,0,3.15,113,7000,1.6666666666666667,9.0,-1,2
2019,0,22,2018,0,11,0,0,8,3,1,1,1,4,2,65,0,0,1,48,4,16,4,0,0,1,2.68,0,3.15,126,20000,2.0,3.5,4,0
2022,1,20,2020,0,2,0,1,3,3,0,1,1,1,2,65,0,0,0,39,1,16,4,0,1,1,2.68,0,3.15,11,20000,0.75,3.5,2,0
2020,1,22,2018,0,7,0,1,1,1,0,1,1,5,1,36,1,0,1,23,1,14,4,0,1,1,2.68,0,3.15,77,20000,0.5,7.4,-4,2
2022,1,21,2020,0,2,1,1,7,2,1,1,1,1,2,2,0,0,1,39,3,16,4,1,1,1,2.68,0,3.15,11,30000,2.3333333333333335,9.8,6,1
2018,1,23,2017,0,13,0,0,2,1,0,1,1,1,1,40,1,1,1,39,3,16,4,0,0,1,2.68,0,3.15,136,35000,1.0,9.0,1,0
2020,0,23,2020,0,8,1,0,6,3,0,1,1,6,2,2,0,0,1,39,2,16,4,0,0,1,2.68,0,3.15,88,62488,1.5,9.8,0,2
2017,0,25,2015,0,8,0,0,2,2,0,1,1,1,2,2,0,0,1,23,2,14,2,0,1,1,2.68,0,3.15,88,60000,0.6666666666666666,9.8,1,1
2022,0,20,2020,0,2,0,1,4,3,0,1,0,2,2,53,0,0,1,39,3,16,4,0,0,1,2.68,0,3.15,11,60000,1.0,4.7,2,0
2021,1,21,2020,0,4,1,1,2,2,0,1,1,2,0,45,0,0,1,39,2,16,3,1,1,1,2.68,0,3.15,36,50000,0.6666666666666666,5.5,0,0
2015,0,26,2014,0,22,0,1,2,2,1,1,1,3,2,45,1,1,0,43,2,16,2,1,1,2,2.68,0,3.15,77,30000,0.6666666666666666,8.5,-1,1
2019,1,23,2018,0,11,0,1,5,5,0,1,1,3,2,55,0,0,1,23,2,14,4,0,0,1,3.29,0,3.23,114,28000,0.8333333333333334,4.5,2,0
2019,0,22,2018,0,11,0,1,3,1,0,1,1,3,2,2,0,0,1,0,3,13,4,1,1,1,2.68,0,3.15,126,60000,1.5,9.8,0,1
2017,1,23,2017,0,12,0,0,2,2,0,1,1,1,0,2,1,0,1,23,3,16,4,0,0,1,2.68,0,3.15,136,90000,0.6666666666666666,10.8,1,1
2017,1,24,2017,0,15,0,0,3,2,1,1,1,3,0,45,1,0,1,48,4,16,4,0,0,1,2.68,0,3.15,113,200000,1.0,6.5,0,0
2020,0,21,2019,0,8,0,0,4,2,0,1,1,1,2,2,0,0,0,48,1,16,4,1,1,1,2.68,0,3.15,88,50000,1.3333333333333333,9.8,3,1
2019,0,22,2018,0,9,0,1,3,1,0,1,1,5,1,45,1,0,0,39,3,16,2,0,0,2,2.0,0,2.22,77,4000,1.5,6.5,-2,2
2022,1,19,2020,0,2,1,1,3,2,0,1,1,3,1,55,0,0,1,39,1,16,4,0,1,1,2.68,0,3.15,11,40000,1.0,4.5,0,0
2019,0,21,2018,0,10,0,0,5,1,0,1,1,3,2,45,1,0,1,39,2,16,4,0,0,2,3.3,0,3.24,105,80000,2.5,6.5,2,0
2019,1,23,2017,0,10,0,1,3,2,1,1,1,2,1,55,0,0,1,43,3,16,4,0,0,2,2.68,0,3.15,113,35000,1.0,4.5,1,0
2019,1,21,2018,0,9,0,0,1,1,1,1,1,12,2,55,0,0,1,48,6,16,4,0,0,1,3.01,0,2.76,79,65000,0.5,4.5,-11,2
